
# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.21
8                      27.86
16                     27.73
32                     27.79
64                     28.54
128                    28.68
256                    29.39
512                    29.82
1024                   30.07
2048                   31.24
4096                   36.69
8192                   33.92
16384                  40.28
32768                  47.39
65536                  59.49
131072                 77.57
262144                115.89
524288                161.46
1048576               264.61

# OSU MPI-CUDA Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.60
2                       3.21
4                       6.45
8                      12.90
16                     25.22
32                     51.40
64                    102.38
128                   202.37
256                   214.50
512                   429.57
1024                  859.05
2048                 1716.71
4096                 3425.80
8192                 6837.77
16384               13580.96
32768               19198.25
65536               38146.17
131072              45559.28
262144              47649.38
524288              48513.15
1048576             48931.54
2097152             49104.67
4194304             49230.43
srun: error: Unable to create step for job 20964302: More processors requested than permitted
